Name,Album,Artist,URI
Happier,÷ (Deluxe),Ed Sheeran,spotify:track:2RttW7RAu5nOAfq6YFvApB
7 Years,Lukas Graham,Lukas Graham,spotify:track:5kqIPrATaCc2LqxVWzQGbk
slower,slower,Tate McRae,spotify:track:1bd4heB3yXc5iFTPoOMPuo
drivers license,drivers license,Olivia Rodrigo,spotify:track:7lPN2DXiMsVn7XUKtOW1CS
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,spotify:track:4y4spB9m0Q6026KfkAvy9Q
Half A Man,A Place We Knew,Dean Lewis,spotify:track:6WU74yOM3Evu2hoyy2g5g5
1-800-273-8255,Everybody,Logic,spotify:track:5tz69p7tJuGPeMGwNTxYuV
take them all,take them all,christina munsey,spotify:track:4CFdhXBT1BkiuzYgAhwyKD
Let It Go,Chaos And The Calm,James Bay,spotify:track:13HVjjWUZFaWilh2QUJKsP
Spinning,Spinning,Trinity Sander,spotify:track:4wJIMc9Jo59MBxaZSnFD2J
lovely (with Khalid),lovely (with Khalid),Billie Eilish,spotify:track:0u2P5u6lvoDfwTYjAADbn4
changes,?,XXXTENTACION,spotify:track:7AFASza1mXqntmGtbxXprO
"i hate u, i love u (feat. olivia o'brien)",us,gnash,spotify:track:7vRriwrloYVaoAe3a9wJHe
this is the end,this is the end,Foster,spotify:track:46OxBe7dXPueEYCPmTbkyw
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,spotify:track:4Of7rzpRpV1mWRbhp5rAqG
Kiss You,Kiss You,Steph Devine,spotify:track:7gb6qsstXTMH3LjZrzdS8o
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,spotify:track:43zdsphuZLzwA9k4DJhU0I
Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,spotify:track:29f11nLUcMYQ2Ndbnb7N0o
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,spotify:track:20R40KmQrdwKES14PmDwaf
High,High,ORYL,spotify:track:4Z3ilapn8B684SSYiA1Y2M
Be Alright,A Place We Knew,Dean Lewis,spotify:track:5qrSlOut2rNAWv3ubArkNy
Can We Kiss Forever?,Can We Kiss Forever?,Kina,spotify:track:58wyJLv6yH1La9NIZPl3ne
If The World Was Ending,If The World Was Ending,JP Saxe,spotify:track:6dTBKBqIN4324sThIkZpMj
my future,my future,Billie Eilish,spotify:track:2ygvZOXrIeVL4xZmAWJT2C
All I Want,All I Want,Aidan Doran,spotify:track:2RN9ieqFTClh8vRn5tTT1l
Nude,In Rainbows,Radiohead,spotify:track:5k7VKj1Xwy5DjO4B0PdAOb
Angel,Angel,Ben Swissa,spotify:track:1XFQCO045csYHnDoJq2PZ7
At My Worst,The Prelude,Pink Sweat$,spotify:track:0ri0Han4IRJhzvERHOZTMr
Fix You,X&Y,Coldplay,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
XO,i think you think too much of me,EDEN,spotify:track:0ZAiqymvbQUZAh9y6ZT3Rm
Coaster,American Teen,Khalid,spotify:track:39KG4kom3enSx4GTThuDGt
The Scientist,The Scientist,Aidan Doran,spotify:track:2ehA75BfESUOv2lqctMrh4
Not About Angels,Not About Angels,Birdy,spotify:track:5sF7hdYvhrcgNq8NZjfK8L
Let Her Go,All The Little Lights,Passenger,spotify:track:47UDiZQHAkVtMNhx6EjyOn
Save Your Tears,After Hours,The Weeknd,spotify:track:5QO79kh1waicV47BqGRL3g
Breathe Me,Colour The Small One,Sia,spotify:track:7jqzZyJJLrpkRFYGpkqSK6
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,spotify:track:60iSKGrGazRzICtMjADNSM
Let You Down,Perception,NF,spotify:track:6mrKP2jyIQmM0rw6fQryjr
Say You Won't Let Go,Back from the Edge,James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh
I Need You,I Need You,ORYL,spotify:track:7pnH6vIlMvMlRiFTI55Sp3
Moonlight,YOU,Ali Gatie,spotify:track:6L4F4btXioJPhEwz6T7YYt
You're Beautiful,Back to Bedlam,James Blunt,spotify:track:0vg4WnUWvze6pBOJDTq99k
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
Yellow,Parachutes,Coldplay,spotify:track:3AJwUDP919kvQ9QcozQPxg
Feel,Escapology,Robbie Williams,spotify:track:2Ms33RTRCT6gArrpcrPxmo
you broke me first,you broke me first,Tate McRae,spotify:track:45bE4HXI0AwGZXfZtMp8JR
No Surprises,OK Computer,Radiohead,spotify:track:1bSpwPhAxZwlR2enJJsv7U
All of Me,Love In The Future (Expanded Edition),John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a
you were good to me (bonus track),love is not dying,Jeremy Zucker,spotify:track:0JnSoyZMTYZLWFVdVT1JFZ
Lie,Perception,NF,spotify:track:07FkzikE6FuHIa8Ma7zJGc
this is how you fall in love,brent ii,Jeremy Zucker,spotify:track:1aEsTgCsv8nOjEgyEoRCpS
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,spotify:track:2gMXnyrvIjhVBUZwvLZDMP
better off,glisten,Jeremy Zucker,spotify:track:7bdYxWPCs46dQ0XLwySOyv
a fireplace,a fireplace,Photography,spotify:track:5ejEESg4DFjjZd6sYjDUv7
ATLAS,ATLAS,JOLENE,spotify:track:0oD6TsXMFaf2kz0kqjtCmY
If You Want Love,Perception,NF,spotify:track:3i5qVV8azKqGFK4Gzdt5YS
I Fall Apart,Stoney (Deluxe),Post Malone,spotify:track:75ZvA4QfFiZvzhj2xkaWAh
Skinny Love,Birdy,Birdy,spotify:track:4RL77hMWUq35NYnPLXBpih
What I Need,What I Need,ORYL,spotify:track:5JGMeeK1tfvRoYYPtWvXdB
